CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,COND,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,P. Alk.,Total Iron,SS,Sulphate,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,umho/cm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,0 ppm,Max. 2 ppm,ppm,Max. 1000 ppm,180 ppm
2015-01-01 00:00:00,7.9,11,0.5,2582,1730,1001,611,362,170,4.9,135,0,0.2,23,981,125
2015-01-02 00:00:00,7.6,10,0.5,2480,1660,989,603,365,167,4.8,110,0,0.2,21,972,126
2015-01-03 00:00:00,7.7,10,0.5,2433,1630,968,590,386,165,4.7,115,0,0.2,20,963,128
2015-01-04 00:00:00,7.6,11,0.5,2450,1640,970,592,381,167,4.8,110,0,0.2,21,969,129
2015-01-05 00:00:00,7.7,11,0.5,2525,1692,976,595,390,158,4.7,110,0,0.2,23,971,130
2015-01-06 00:00:00,7.9,13,0.5,2537,1700,947,577,385,166,4.7,130,0,0.2,26,942,131
2015-01-07 00:00:00,7.6,10,0.5,2270,1520,906,553,387,150,4.5,110,0,0.2,21,929,132
2015-01-08 00:00:00,7.8,9,0.5,2233,1496,898,548,388,143,4.7,130,0,0.2,19,937,133
2015-01-09 00:00:00,7.7,11,0.2,2420,1620,927,565,389,160,4.9,110,0,0.2,23,946,134
2015-01-10 00:00:00,7.7,12,0.2,2552,1710,948,578,370,168,5,105,0,0.2,25,955,135
2015-01-11 00:00:00,7.7,12,0.2,2565,1730,950,580,386,170,4.9,110,0,0.2,26,962,136
2015-01-12 00:00:00,7.8,11,0.3,2580,1750,955,585,379,172,4.8,115,0,0.2,24,973,137
2015-01-13 00:00:00,7.8,10,0.2,2600,1780,960,588,370,175,4.7,120,0,0.2,23,961,139
2015-01-14 00:00:00,7.8,11,0.6,2620,1810,985,595,370,178,4.8,115,0,0.2,25,948,140
2015-01-15 00:00:00,7.55,11,0.5,2810,1880,1005,593,378,190,5,100,0,0.3,23,926,141
2015-01-16 00:00:00,7.76,10,0.4,2582,1730,989,603,383,180,4.9,115,0,0.2,21,937,142
2015-01-17 00:00:00,7.7,11,0.3,2664,1785,1009,615,378,190,5,110,0,0.2,23,954,143
2015-01-18 00:00:00,7.8,10,0.2,2580,1750,1000,610,385,187,4.9,130,0,0.2,21,969,144
2015-01-19 00:00:00,7.7,10,0.6,2522,1690,985,610,376,185,4.8,120,0,0.2,20,960,145
2015-01-20 00:00:00,7.4,11,0.5,2420,1620,960,585,378,172,4.8,100,0,0.2,23,949,146
2015-01-21 00:00:00,7.8,12,0.5,2730,1826,980,598,379,180,4.9,120,0,0.2,25,973,147
2015-01-22 00:00:00,7.6,11,0.4,2664,1785,1000,610,381,182,4.7,100,0,0.2,23,967,146
2015-01-23 00:00:00,7.7,10,0.2,2635,1765,984,600,384,174,4.8,120,0,0.2,21,958,147
2015-01-24 00:00:00,7.7,10,0.3,2560,1715,960,586,379,172,4.8,105,0,0.2,22,951,148
2015-01-25 00:00:00,7.7,11,0.3,2580,1730,965,588,376,173,4.9,110,0,0.2,23,959,149
2015-01-26 00:00:00,7.8,11,0.2,2600,1750,970,590,383,175,4.9,115,0,0.2,23,965,150
2015-01-27 00:00:00,7.7,10,0.1,2638,1768,960,586,382,186,4.8,120,0,0.2,21,956,148
2015-01-28 00:00:00,7.8,9,0,2532,1693,952,580,388,180,4.9,125,0,0.2,19,947,146
2015-01-29 00:00:00,7.8,10,0.1,2552,1710,940,573,389,174,4.8,130,0,0.2,21,941,145
2015-01-30 00:00:00,7.8,10,0.1,2375,1593,932,568,394,170,4.9,125,0,0.2,21,949,144
2015-01-31 00:00:00,7.7,9,0.5,2350,1552,920,561,402,168,4.8,115,0,0.2,23,938,143
MIN.,7.4,9,0,2233,1496,920,548,362,142,4.8,100,0,0.2,19,938,125
MAX.,7.9,16,0.6,2810,1880,1009,615,402,190,4.6,135,0,0.3,26,981,150
AVG.,7.719677419354839,10,0.3516129032258064,2536.8064516129034,1703.5483870967741,964.2258064516129,587.6129032258065,381.38709677419354,171.53125,4.822580645161292,115.64516129032258,0,0.20322580645161298,22.35483870967742,955.0967741935484,139.6451612903226
No. of < Spec,1,--,4,--,--,--,--,--,--,0,--,--,--,--,--,--
No. of > Spec,0,0,2,--,0,0,--,--,0,0,0,--,0,--,0,0
% < Specs.,3.225806451612903,--,12.903225806451612,--,--,--,--,--,--,0,,,,,,--
% > Specs.,0,0,6.451612903225806,,0,0,,--,0,0,0,,0,,0,0
