CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-09-05 00:00:00,8.29,120,0.1,618,197,121,76,139,7.3,10.3,118,230,103
2018-09-06 00:00:00,8.34,63,0.1,634,210,130,80,140,7.4,10.4,120,233,105
2018-09-07 00:00:00,8.33,54,0.1,834,328,168,160,146,7.9,10.9,122,220,122
2018-09-08 00:00:00,8.14,24,0.1,1030,336,176,160,154,8,10.9,118,280,125
2018-09-09 00:00:00,8,25,0.1,1080,380,236,144,196,7.8,10.8,120,310,128
2018-09-10 00:00:00,7.9,25,0.1,1160,510,275,235,258,7.2,10.2,122,360,134
2018-09-11 00:00:00,7.85,26,0.1,1188,496,269,227,256,7,11,120,340,132
2018-09-12 00:00:00,7.67,15,0.1,1260,563,302,261,253,7.7,10.7,115,295,130
2018-09-13 00:00:00,7.64,19,0.1,1120,518,284,234,260,7.4,10.4,120,344,128
2018-09-14 00:00:00,7.52,18,0.1,1115,504,273,231,253,7.4,10.4,118,220,124
2018-09-15 00:00:00,7.78,16,0.1,1390,554,294,260,268,7.2,10.2,118,290,129
2018-09-16 00:00:00,7.8,15,0.1,1360,510,275,235,282,7,10.2,120,300,128
2018-09-17 00:00:00,7.79,15,0.1,1294,491,269,222,304,6.9,10.9,127,310,128
2018-09-18 00:00:00,8.12,15,0.1,1375,503,278,225,310,6.8,10.8,129,480,133
2018-09-19 00:00:00,8.16,14,0.1,1194,500,290,210,246,6.6,10.6,128,314,137
2018-09-20 00:00:00,8.1,15,0.1,1210,520,299,221,247,7,11,130,318,139
2018-09-21 00:00:00,7.39,14,0.1,1530,570,330,240,312,6.81038,10.8,125,489,140
2018-09-22 00:00:00,7.37,13,0.1,1507,567,328,239,311,6.9,10.9,124,393,139
2018-09-23 00:00:00,7.82,16,0.1,1510,560,320,240,319,6.8,10.8,120,382,140
2018-09-24 00:00:00,7.73,15,0.1,1493,552,318,234,310,6.8,10.8,118,380,140
2018-09-25 00:00:00,7.48,16,0.1,1720,756,376,380,377,6.9,10.9,112,344,139
2018-09-26 00:00:00,7.5,14,0.1,1830,760,384,376,380,6.7,10.7,120,470,142
2018-09-27 00:00:00,7.62,16,0.1,2014,899,484,415,471,6.6,10.6,118,468,146
2018-09-28 00:00:00,7.54,16,0.1,2030,909,490,419,474,6.9,10.9,124,869,148
2018-09-29 00:00:00,7.51,18,0.2,1740,847,462,385,343,6.8,10.8,119,723,149
2018-09-30 00:00:00,7.54,17,0.1,1692,828,452,376,328,6.7,10.7,120,720,150
MIN.,7.37,13,0.1,618,197,121,144,139,6.6,10.2,112,220,103
MAX.,8.34,120,0.2,2030,909,490,419,474,8,11,130,869,150
AVG.,7.804999999999998,24.384615384615383,0.1038461538461539,1343.3846153846155,552.6153846153846,303.1923076923077,268.2173913043478,282.1923076923077,7.096553076923078,10.676923076923078,120.96153846153847,387.7692307692308,133
No. of < Spec,3,19,25,26,26,26,24,26,0,0,26,26,26
No. of > Spec,7,7,0,0,0,0,2,0,0,0,0,0,0
% < Specs.,11.538461538461538,73.07692307692308,96.15384615384616,100,100,100,92.3076923076923,100,0,0,100,100,100
% > Specs.,26.923076923076923,26.923076923076923,0,0,0,0,7.6923076923076925,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CIRCULATING WATER ANALYSIS FOR COOLING TOWER,,,,,,,,,,,,,
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2018-09-01 00:00:00,-,-,-,SHUT ,DOWN,-,-,-,-,-,-,-,-
2018-09-02 00:00:00,-,-,-,BASIN IS,CLEANING,-,-,-,-,-,-,-,-
2018-09-03 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-09-04 00:00:00,-,-,-,-,-,-,-,-,-,-,-,-,-
