CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-02-01 00:00:00,7.7,20,0.8,1070,244,148,96,314,6.8,10.8,100,334,60
2017-02-02 00:00:00,7.67,24,0.2,1030,252,156,96,307,6.9,10.9,100,320,60
2017-02-03 00:00:00,7.65,15,0.1,920,248,148,100,300,6.9,10.9,100,315,65
2017-02-04 00:00:00,7.7,19,0.2,985,256,156,100,307,6.8,10.8,100,348,63
2017-02-05 00:00:00,7.67,22,0.1,990,260,168,92,295,6.5,10.5,100,360,65
2017-02-06 00:00:00,7.57,27,0,910,248,152,96,300,6.9,10.9,100,340,64
2017-02-07 00:00:00,7.4,16,0,994,252,160,92,307,6.5,10.5,100,324,67
2017-02-08 00:00:00,7.52,15,0.2,1065,256,164,92,314,6.7,10.7,100,362,65
2017-02-09 00:00:00,7.5,28,0.1,950,252,164,88,293,6.9,10.9,100,360,68
2017-02-10 00:00:00,7.6,20,0.1,1100,256,156,100,278,6.6,10.6,100,355,65
2017-02-11 00:00:00,7.49,24,0.2,940,260,168,92,285,6.5,10.5,100,368,69
2017-02-12 00:00:00,7.65,23,0,960,248,148,100,280,6.3,10.3,100,350,66
2017-02-13 00:00:00,7.93,24,0,950,256,160,96,278,6.8,10.8,100,360,70
2017-02-14 00:00:00,7.64,16,0,1080,264,168,96,227,6.7,10.7,100,365,68
2017-02-15 00:00:00,7.23,22,1,1152,244,152,92,241,6.8,10.8,102,366,70
2017-02-16 00:00:00,7.54,31,0,1100,240,148,92,234,6.6,10.6,100,365,66
2017-02-17 00:00:00,7.75,30,0.1,1110,256,162,94,238,6.8,10.8,100,344,65
2017-02-18 00:00:00,7.54,26,0.2,1090,264,172,92,234,6.5,105,100,360,64
2017-02-19 00:00:00,7.45,24,0.2,1050,260,156,104,235,6.6,10.6,100,350,65
2017-02-20 00:00:00,7.37,27,0,1090,240,156,84,241,6.8,10.8,100,355,60
2017-02-21 00:00:00,7.47,30,0,1040,248,169,79,249,6.9,10.9,100,350,69
2017-02-22 00:00:00,7.49,34,0.3,980,256,164,92,293,6.7,10.7,100,328,67
2017-02-23 00:00:00,7.4,38,0,970,252,160,92,227,6.9,10.9,100,340,62
2017-02-24 00:00:00,7.5,22,0.2,995,265,173,92,254,6.5,10.5,100,360,64
2017-02-25 00:00:00,7.39,48,0.5,972,260,176,84,241,6.6,10.6,100,368,61
2017-02-26 00:00:00,7.7,20,0.1,1110,265,173,92,254,6.5,10.5,102,362,64
2017-02-27 00:00:00,7.27,22,0.2,1045,264,172,92,249,6.6,10.6,100,360,65
2017-02-28 00:00:00,7.9,39,0,1120,268,172,96,256,6.7,10.7,100,366,63
MIN.,7.23,15,0,910,240,148,79,227,6.3,10.3,100,315,60
MAX.,7.93,48,1,1152,268,176,104,314,6.9,105,102,368,70
AVG.,7.560357142857142,25.214285714285715,0.17142857142857146,1027.4285714285713,254.78571428571428,161.46428571428572,93.32142857142857,268.9642857142857,6.689285714285712,14.064285714285715,100.14285714285714,351.25,65
No. of < Spec,10,--,16,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,20,2,0,0,--,--,0,0,0,-,0,0
% < Specs.,35.714285714285715,--,57.142857142857146,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,71.42857142857143,7.142857142857143,0,0,-,--,0,0,0,-,0,0
