CIRCULATING WATER ANALYSIS FOR  X 01 COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SO4-2,SiO2
,7.5-8.3,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1200 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,Max. 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-06-01 00:00:00,8,25,0.3,1408,968,612,356,234,6.3,10.3,112,875,246
2017-06-02 00:00:00,8.02,30,0.5,1430,984,588,396,241,6.7,10.7,110,870,239
2017-06-03 00:00:00,8.01,19,0.1,1518,992,596,396,249,6.4,10.4,112,867,242
2017-06-04 00:00:00,8.05,17,0.1,1562,984,587,397,249,6.3,10.3,110,868,244
2017-06-05 00:00:00,8.02,19,0.1,1310,980,572,408,240,6.7,10.7,110,842,240
2017-06-06 00:00:00,7.9,16,0.1,1293,986,579,407,241,6.6,10.6,109,860,235
2017-06-07 00:00:00,7.72,23,0.1,1387,886,534,352,227,6.8,10.8,107,868,224
2017-06-08 00:00:00,7.73,18,0.1,1380,918,557,361,234,6.9,10.9,110,860,219
2017-06-09 00:00:00,7.89,22,0.1,1410,851,526,325,227,7,11,107,852,244
2017-06-10 00:00:00,7.94,20,0.1,1360,852,528,324,219,6.8,10.8,108,875,240
2017-06-11 00:00:00,7.9,24,0.1,1398,894,558,336,258,6.7,10.7,110,874,242
2017-06-12 00:00:00,7.86,22,0.1,1380,884,540,344,256,6.7,10.7,105,874,241
2017-06-13 00:00:00,7.95,24,0.1,1408,916,548,368,246,6.9,10.9,109,884,246
2017-06-14 00:00:00,8.18,27,0.1,1462,928,556,372,234,7.2,11.2,107,890,242
2017-06-15 00:00:00,7.92,22,0.1,1480,942,551,391,233,6.5,10.5,108,820,220
2017-06-16 00:00:00,8.24,24,0.5,1565,916,548,368,197,6.8,10.8,110,830,235
2017-06-17 00:00:00,8,28,0.2,1520,920,530,390,200,6.9,10.9,102,875,230
2017-06-18 00:00:00,8.12,30,0.2,1542,932,542,390,202,6.9,10.9,102,876,232
2017-06-19 00:00:00,8.1,27,0.1,1760,1002,662,340,234,6.7,10.7,110,882,230
2017-06-20 00:00:00,8.29,30,0.2,1560,959,658,301,241,6.9,10.9,112,892,219
2017-06-21 00:00:00,7.86,28,0.2,1450,924,629,295,227,6.8,10.8,109,880,210
2017-06-22 00:00:00,7.98,30,0.1,1512,918,620,298,234,6.5,10.5,105,879,214
2017-06-23 00:00:00,7.82,32,0.1,1575,969,648,321,241,7.2,11.2,109,790,210
2017-06-24 00:00:00,8,33,0.3,1433,940,600,340,234,7,11,106,785,202
2017-06-25 00:00:00,7.96,35,0.3,1458,952,618,334,232,7,11,106,786,204
2017-06-26 00:00:00,7.92,40,0.1,1540,932,593,339,241,6.9,10.9,104,772,200
2017-06-27 00:00:00,7.98,30,0.1,1398,925,638,287,234,6.8,10.8,109,765,205
2017-06-28 00:00:00,7.69,35,0.1,1435,924,628,296,249,6.9,10.9,110,749,198
2017-06-29 00:00:00,7.9,28,0.1,1490,878,590,288,234,6.7,10.7,105,720,195
2017-06-30 00:00:00,7.59,32,0.2,1422,852,565,287,249,7,11,110,740,182
MIN,7.59,16,0.1,1293,851,526,287,197,6.3,10.3,102,720,182
MAX.,8.29,40,0.5,1760,1002,662,408,258,7.2,11.2,112,892,246
AVG.,7.9513333333333325,26.333333333333332,0.16333333333333336,1461.5333333333333,930.2666666666667,583.3666666666667,346.9,234.56666666666666,6.783333333333334,10.783333333333333,108.1,840,224.33333333333334
No. of < Spec,0,--,20,--,--,,--,--,0,--,-,--,--
No. of > Spec,0,24,0,0,0,--,--,0,0,0,-,0,30
% < Specs.,0,--,66.66666666666667,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,80,0,0,0,-,--,0,0,0,-,0,100
