CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-12-01 00:00:00,7.93,43,0.1,1490,543,314,229,411,6.5,10.5,105,690,100
2017-12-02 00:00:00,8.2,40,0.2,1690,528,300,228,404,6.8,10.8,108,680,104
2017-12-03 00:00:00,8.1,35,0.1,1520,532,302,230,402,6.9,10.9,106,670,108
2017-12-04 00:00:00,8.01,30,0.1,1430,540,310,230,400,6.5,10.5,105,660,110
2017-12-05 00:00:00,8.01,23,0.1,1310,514,306,208,389,6.6,10.6,110,673,110
2017-12-06 00:00:00,8.07,20,0.1,1240,486,282,204,288,7,11,115,640,112
2017-12-07 00:00:00,8.13,18,0.1,1370,481,273,208,303,6.5,10.5,110,683,120
2017-12-08 00:00:00,7.75,16,0.1,1530,551,326,225,346,6.8,10.8,114,643,105
2017-12-09 00:00:00,7.6,18,0.1,1640,640,350,290,370,6.9,10.9,110,679,110
2017-12-10 00:00:00,7.8,16,0.1,1740,660,365,295,374,6.9,10.9,110,674,112
2017-12-11 00:00:00,7.9,17,0.1,1780,682,372,310,400,6.8,10.8,100,670,112
2017-12-12 00:00:00,7.92,19,0.1,1890,689,360,329,412,6.9,10.9,110,672,113
2017-12-13 00:00:00,8.02,17,0.1,1920,554,326,228,407,6.8,10.8,105,669,110
2017-12-14 00:00:00,8.12,18,0.1,1906,612,448,164,549,6.9,10.9,110,682,113
2017-12-15 00:00:00,8.01,19,0.1,1896,685,396,289,542,6.6,10.6,100,653,103
2017-12-16 00:00:00,8.13,18,0.1,1860,641,384,257,521,6.9,10.9,109,650,109
2017-12-17 00:00:00,8,17,0.1,1890,680,392,288,520,6.9,10.9,100,670,110
2017-12-18 00:00:00,7.64,18,0.1,2012,710,402,308,490,6.7,10.7,102,687,110
2017-12-19 00:00:00,7.69,18,0.1,2060,714,416,298,521,6.8,10.8,109,682,107
2017-12-20 00:00:00,7.8,18,0.1,2074,724,390,334,540,6.6,10.6,110,693,110
2017-12-21 00:00:00,7.56,16,0.1,2096,730,392,338,542,6.7,10.7,100,690,115
2017-12-22 00:00:00,7.52,16,0.1,2160,714,388,326,528,6.5,10.5,109,684,118
2017-12-23 00:00:00,7.53,18,0.1,2219,809,445,364,542,6.7,10.7,104,720,120
2017-12-24 00:00:00,7.65,17,0.1,2170,780,425,355,525,6.8,10.8,110,728,122
2017-12-25 00:00:00,7.64,16,0.2,1980,730,404,326,499,6.8,10.8,116,732,124
2017-12-26 00:00:00,7.92,18,0.1,2393,785,470,315,507,6.7,10.7,120,738,117
2017-12-27 00:00:00,7.49,18,0.1,2480,777,479,298,492,6.7,10.7,104,732,139
2017-12-28 00:00:00,7.7,16,0.1,2360,907,538,369,499,6.7,10.7,107,694,125
2017-12-29 00:00:00,8.12,16,0.1,2190,794,458,336,521,6.5,10.5,115,673,120
2017-12-30 00:00:00,8.02,18,0.2,1790,692,402,290,420,6.7,10.7,110,680,129
2017-12-31 00:00:00,7.98,17,0.1,1750,680,396,284,418,6.6,10.6,110,675,125
MIN.,7.49,16,0.1,1240,481,273,164,288,6.5,10.5,100,640,100
MAX.,8.2,43,0.2,2480,907,538,369,549,7,11,120,738,139
AVG.,7.869677419354838,20.129032258064516,0.10967741935483877,1865.6774193548388,663.3548387096774,381,284.1333333333333,454.258064516129,6.732258064516127,10.73225806451613,108.16129032258064,682.7741935483871,114.25806451612904
No. of < Spec,1,--,26,--,--,,--,--,0,--,-,--,--
No. of > Spec,10,5,0,6,0,--,--,11,0,0,-,0,0
% < Specs.,3.5714285714285716,--,92.85714285714286,--,--,--,--,--,0,-,-,-,--
% > Specs.,35.714285714285715,17.857142857142858,0,21.42857142857143,0,-,--,39.285714285714285,0,0,-,0,0
