CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,ORTHO PO4,Total PO4,Total alk,SULFATE,SiO2
,7.5-8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,6.0 - 8.0 ppm,10 to 12 ppm,Max. 250 ppm,Max. 1000 ppm,180 ppm
2017-06-01 00:00:00,7.64,23,0.1,978,260,156,104,241,6.9,10.9,102,580,89
2017-06-02 00:00:00,7.6,25,0.2,983,264,160,104,249,6.9,10.9,100,573,87
2017-06-03 00:00:00,8,24,0.1,959,268,164,104,256,6.6,10.6,104,570,85
2017-06-04 00:00:00,8,23,0.2,952,256,154,102,258,6.6,106,102,575,88
2017-06-05 00:00:00,7.9,22,0.2,940,252,152,100,260,6.5,10.5,100,579,90
2017-06-06 00:00:00,7.68,16,0.2,953,260,156,104,249,6.7,10.37,100,562,82
2017-06-07 00:00:00,7.75,16,0.2,920,252,144,108,241,6.9,10.9,100,572,89
2017-06-08 00:00:00,7.72,16,0.2,957,256,148,108,249,7,11,102,579,90
2017-06-09 00:00:00,7.7,21,0.1,968,260,148,112,241,7.2,11.2,103,570,92
2017-06-10 00:00:00,7.94,17,0.1,948,256,144,112,234,7,11,100,582,87
2017-06-11 00:00:00,7.82,18,0.1,998,254,142,112,265,6.9,10.9,102,586,85
2017-06-12 00:00:00,7.54,19,0.2,1052,252,140,112,271,7,11,100,589,83
2017-06-13 00:00:00,7.39,49,0.2,2250,272,160,112,840,7.5,11.5,98,593,98
2017-06-14 00:00:00,7.68,47,0.1,2980,260,144,116,840,7.6,11.6,102,640,110
2017-06-15 00:00:00,7.72,50,0.1,2840,248,149,99,842,7.5,11.5,100,652,112
2017-06-16 00:00:00,7.1,48,0.2,2390,252,152,100,753,7,11,100,666,115
2017-06-17 00:00:00,7.29,46,0.2,2310,250,149,101,790,7.2,11.2,100,670,112
2017-06-18 00:00:00,7.4,38,0.1,1950,252,152,100,665,7.1,11.1,102,678,112
2017-06-19 00:00:00,7.49,34,0.1,1680,256,156,100,527,6.9,10.9,100,689,110
2017-06-20 00:00:00,8.09,16,0.1,1240,249,148,101,475,7,11,105,694,125
2017-06-21 00:00:00,7.56,15,0.1,1120,260,150,110,351,7.2,11.2,102,690,120
2017-06-22 00:00:00,7.9,17,0.1,1045,264,160,104,307,7,11,100,682,115
2017-06-23 00:00:00,7.38,20,0.1,985,248,152,96,293,7,11,102,589,110
2017-06-24 00:00:00,8.2,20,0.2,1026,240,140,100,300,7.3,11.3,106,576,109
2017-06-25 00:00:00,8.1,19,0.1,1085,242,142,100,295,7.2,11.2,105,572,105
2017-06-26 00:00:00,7.52,18,0.1,1105,244,144,100,285,7.2,11.2,104,570,102
2017-06-27 00:00:00,7.47,14,0.2,940,252,152,100,271,7,11,103,550,98
2017-06-28 00:00:00,7.73,20,0.1,974,256,152,104,256,6.8,10.8,100,552,95
2017-06-29 00:00:00,8.18,25,0.1,993,247,148,99,263,7,11,100,533,98
2017-06-30 00:00:00,7.95,20,0.3,958,251,148,103,256,7.2,11.2,105,530,92
MIN.,7.1,14,0.1,920,240,140,96,234,6.5,10.37,98,530,82
MAX.,8.2,50,0.3,2980,272,164,116,842,7.6,106,106,694,125
AVG.,7.714666666666667,25.2,0.1466666666666667,1315.9666666666667,254.43333333333334,150.2,104.24137931034483,387.43333333333334,7.029999999999999,14.199,101.63333333333334,601.4333333333333,99.5
No. of < Spec,7,--,16,--,--,,--,--,0,--,-,--,--
No. of > Spec,3,13,0,5,0,--,--,7,0,0,-,0,0
% < Specs.,25,--,57.142857142857146,--,--,--,--,--,0,-,-,-,--
% > Specs.,10.714285714285715,46.42857142857143,0,17.857142857142858,0,-,--,25,0,0,-,0,0
