CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,Total Iron,Sulphate,SiO2
,7.5 - 8.0,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
2017-12-01 00:00:00,7.02,16,0.1,1840,1119,610,509,267,4,106,0.2,910,189
2017-12-02 00:00:00,7.39,19,0.2,1887,1110,610,500,274,4,103,0.2,884,182
2017-12-03 00:00:00,7.3,18,0.3,1840,1095,590,505,272,4,102,0.2,890,178
2017-12-04 00:00:00,7.53,18,0.2,1980,1070,580,490,275,4.1,100,0.2,879,170
2017-12-05 00:00:00,7.42,16,0.1,2094,1081,583,498,281,4,103,0.2,830,172
2017-12-06 00:00:00,7.46,17,0.2,1990,1220,661,559,303,4,100,0.2,834,179
2017-12-07 00:00:00,7.7,16,0.2,2010,1223,663,560,295,4.2,104,0.2,870,189
2017-12-08 00:00:00,7.73,17,0.2,2018,1187,619,568,288,4,102,0.2,853,192
2017-12-09 00:00:00,7.4,18,0.2,1940,1193,619,574,289,4,100,0.2,878,196
2017-12-10 00:00:00,7.29,19,0.2,1967,1210,628,582,290,4,102,0.2,880,194
2017-12-11 00:00:00,7.42,16,0.2,1994,1219,640,579,300,4,102,0.2,883,198
2017-12-12 00:00:00,7.49,17,0.2,2029,1354,743,611,318,4.1,104,0.3,910,200
2017-12-13 00:00:00,7.3,16,0.2,1962,1318,694,624,321,4,102,0.3,842,195
2017-12-14 00:00:00,7.63,15,0.2,1893,1322,743,579,328,4,104,0.2,850,198
2017-12-15 00:00:00,7.16,17,0.3,1973,1334,722,612,335,4,100,0.2,897,190
2017-12-16 00:00:00,7.32,17,0.5,1932,1340,729,611,321,4,103,0.2,910,187
2017-12-17 00:00:00,7.2,18,0.2,2073,1390,752,638,324,4,100,0.2,924,201
2017-12-18 00:00:00,7.32,17,0.2,2090,1410,790,620,325,4,102,0.2,920,200
2017-12-19 00:00:00,7.25,17,0.1,2110,1424,755,669,328,4,100,0.2,942,203
2017-12-20 00:00:00,7.29,16,0.1,2153,1387,732,655,331,4,103,0.3,912,207
2017-12-21 00:00:00,7.12,19,0.1,2143,1410,689,721,337,4,100,0.3,930,210
2017-12-22 00:00:00,7.18,15,0.1,2260,1457,747,710,364,4,100,0.3,954,218
2017-12-23 00:00:00,7.18,16,0.1,2140,1416,734,682,357,4,103,0.3,980,220
2017-12-24 00:00:00,7.09,17,0.1,2180,1430,748,682,359,4,104,0.3,978,222
2017-12-25 00:00:00,7.1,18,0.1,2330,1542,845,697,364,4,107,0.3,983,226
2017-12-26 00:00:00,7.42,18,0.1,2410,1663,882,781,392,4,100,0.3,993,229
2017-12-27 00:00:00,7.12,18,0.1,2450,1630,840,790,400,4,100,0.3,990,220
2017-12-28 00:00:00,7.12,15,0.1,2464,1758,942,816,400,4,103,0.3,985,239
2017-12-29 00:00:00,7.6,16,0.1,2443,1643,874,769,378,4,102,0.3,984,224
2017-12-30 00:00:00,7.52,17,0.1,2450,1653,890,763,372,4,103,0.3,989,228
2017-12-31 00:00:00,7.42,16,0.1,2469,1669,893,776,370,4,104,0.3,990,226
MIN.,7.02,15,0.1,1840,1070,580,490,267,4,100,0.2,830,170
MAX.,7.73,19,0.5,2469,1758,942,816,400,4.2,107,0.3,993,239
AVG.,7.338387096774194,16.93548387096774,0.16774193548387087,2113.3548387096776,1363.774193548387,727.3225806451613,636.4516129032259,327.6774193548387,4.012903225806451,102.19354838709677,0.24516129032258058,917.8709677419355,202.6451612903226
No. of < Spec,25,--,15,--,--,--,--,--,0,--,--,--,--
No. of > Spec,0,0,0,13,31,18,--,0,0,0,0,,27
% < Specs.,80.64516129032258,--,48.387096774193544,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,0,0,41.93548387096774,100,0,--,0,0,0,0,0,87.09677419354838
