CIRCULATING WATER ANALYSIS FOR COOLING TOWER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
DATE,pH ,Turbidity,FRC,TDS,TH,CaH,MgH,Cl,Total PO4,T. Alk.,Total Iron,Sulphate,SiO2
,7.2-8.2,Max. 20 NTU,0.2 - 0.5 ppm,Max. 2100 ppm,Max. 1000 ppm,ppm,ppm,Max. 500 ppm,4.0 - 6.0 ppm,Max. 200 ppm,Max. 2 ppm,Max. 1000 ppm,180 ppm
2018-03-01 00:00:00,7.62,37,0.1,1716,1012,567,445,252,4,108,0.2,970,158
2018-03-02 00:00:00,7.5,34,0.1,1702,1002,560,442,282,4,106,0.2,972,160
2018-03-03 00:00:00,7.54,49,0.1,1593,918,526,392,303,4,104,0.2,970,158
2018-03-04 00:00:00,7.42,48,0.1,1573,903,520,383,305,4,102,0.2,968,169
2018-03-05 00:00:00,7.34,50,0.1,1653,938,508,430,238,4,102,0.2,992,166
2018-03-06 00:00:00,7.28,52,0.1,1520,910,490,420,236,4,102,0.2,990,164
2018-03-07 00:00:00,7.48,59,0.1,1486,902,486,416,245,4,110,0.2,984,170
2018-03-08 00:00:00,7.39,52,0.1,1573,910,490,420,274,4,115,0.2,974,169
2018-03-09 00:00:00,7.68,48,0.1,1533,918,502,416,281,4,109,0.2,975,156
2018-03-10 00:00:00,7.9,58,0.1,1580,934,514,420,288,4,110,0.2,994,169
2018-03-11 00:00:00,7.82,62,0.1,1842,1044,551,493,278,4,108,0.2,998,162
2018-03-12 00:00:00,7.78,60,0.1,1829,1020,548,472,274,4,100,0.2,996,159
2018-03-13 00:00:00,7.62,59,0.1,1653,1084,580,504,288,4,102,0.2,990,162
MIN.,7.28,34,0.1,1486,902,486,383,236,4,100,0.2,968,156
MAX.,7.9,62,0.1,1842,1084,580,504,305,4,115,0.2,998,170
AVG.,7.566923076923077,51.38461538461539,0.1,1634.8461538461538,961.1538461538462,526.3076923076923,434.84615384615387,272.61538461538464,4,106,0.2,982.5384615384615,163.23076923076923
No. of < Spec,0,--,13,--,--,--,--,--,0,--,--,--,--
No. of > Spec,0,13,0,0,5,0,--,0,0,0,0,0,0
% < Specs.,0,--,100,--,--,--,--,--,0,-,-,-,--
% > Specs.,0,100,0,0,38.46153846153846,,--,0,0,0,0,0,0
No. of < Spec,7,--,13,--,--,--,--,--,1,--,--,--,--
No. of > Spec,0,13,1,0,4,0,--,0,0,0,0,13,0
% < Specs.,50,--,92.85714285714286,--,--,--,--,--,7.142857142857143,-,-,-,--
% > Specs.,0,100,7.142857142857143,0,30.76923076923077,0,--,0,0,0,0,100,0
