workbook,status,chosen_sheet,reason,ph_count,numeric_density,layer1_candidates,out_csv
DCM    NEW CT Report -AUG 2024 to AUG 2025.xlsx,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5694444444444444,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM____NEW_CT_Report_-AUG_2024_to_AUG_2025__chosen.xlsx
DCM    NEW CT Report -JAN 2024 to OCT 2025.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5527777777777778,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM____NEW_CT_Report_-JAN_2024_to_OCT_2025__chosen.xlsx
DCM   ECH CT - SEPT 2024 to AUG-2025.xlsx,ok,ECH CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5194444444444445,ECH CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM___ECH_CT_-_SEPT_2024_to_AUG-2025__chosen.xlsx
DCM   OLD Report - APRIL 2023 to july 24 and sept-oct 25.xls,ok,OLD CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.75,OLD CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM___OLD_Report_-_APRIL_2023_to_july_24_and_sept-oct_25__chosen.xlsx
DCM  MAIN PLANT CWT  NEW CT 850 TPD Report - MARCH 2024.xls,ok,NEW CT 852 TPD  PH Process,layer1_name_match;ph_found;numeric_series,2,0.4823529411764706,NEW CT 852 TPD  PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_CT_850_TPD_Report_-_MARCH_2024__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - August 2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.7941176470588235,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_August_2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - DEC-2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5882352941176471,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_DEC-2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - FEB-2024.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5823529411764706,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_FEB-2024__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - july 2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.7941176470588235,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_july_2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - june 2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.7941176470588235,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_june_2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - MAY 2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.7941176470588235,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_MAY_2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - NOV-2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.5764705882352941,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_NOV-2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - OCT-2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.44607843137254904,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_OCT-2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report - SEPT-2023.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.611764705882353,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-_SEPT-2023__chosen.xlsx
DCM  MAIN PLANT CWT  NEW Report -april 2022.xls,ok,New CT PH Process,layer1_name_match;ph_found;numeric_series,2,0.7941176470588235,New CT PH Process|CT Parameter Graphs,./chosen_csvs\DCM__MAIN_PLANT_CWT__NEW_Report_-april_2022__chosen.xlsx
